Date,Close,High,Low,Open,Volume
1986-03-26,0.0576663501560688,0.05819536574596514,0.055550287796483466,0.0560793033863798,22752000
1986-03-27,0.058724381029605865,0.058724381029605865,0.05766634985533097,0.05766634985533097,16848000
1986-03-31,0.058195386081933975,0.05872440185669116,0.05713735453241962,0.05872440185669116,12873600
1986-04-01,0.0576663501560688,0.05819536574596514,0.05766635015606881,0.05819536574596514,11088000
1986-04-02,0.058195386081933975,0.059253417631448334,0.0576663703071768,0.0576663703071768,27014400
1986-04-03,0.058724381029605865,0.0603114277910182,0.058724381029605865,0.058724381029605865,23040000
1986-04-04,0.058724381029605865,0.05925339661674331,0.058724381029605865,0.058724381029605865,26582400
1986-04-07,0.0576663501560688,0.05925339692575781,0.056608318976276134,0.05872438133586148,16560000
1986-04-08,0.058195386081933975,0.059253417631448334,0.0576663703071768,0.0576663703071768,10252800
1986-04-09,0.05925339087843895,0.059782406414344694,0.05819535980662746,0.05819535980662746,12153600
1986-04-10,0.05978242680430412,0.06031144252064096,0.058195379655293596,0.05925341108796728,13881600
1986-04-11,0.060840461403131485,0.06189910136727057,0.06031144565926452,0.06031144565926452,17222400
1986-04-14,0.061369478702545166,0.061899102936241804,0.06084046294526912,0.06084046294526912,12153600
1986-04-15,0.061369478702545166,0.06136947870254517,0.05925341567344097,0.06136947870254517,9302400
1986-04-16,0.06348613649606705,0.06401515213908407,0.060840449804692755,0.06136946544770978,31910400
1986-04-17,0.06401513516902924,0.06401513516902924,0.06348611966625127,0.06348611966625127,22003200
1986-04-18,0.061899084597826004,0.06401514700001895,0.06136946052103745,0.06401514700001895,21628800
1986-04-21,0.061899084597826004,0.06242810019837424,0.06031142931994097,0.061899084597826004,22924800
1986-04-22,0.060840461403131485,0.06189910136727057,0.060840461403131485,0.06189910136727057,15552000
1986-04-23,0.061104971915483475,0.06136948207910932,0.06031145050634406,0.06084046629272669,15609600
1986-04-24,0.06718923896551132,0.06824727014081736,0.060840443437449654,0.06110494896084248,62352000
1986-04-25,0.07142197340726852,0.07433156146129914,0.06771825575190894,0.06771825575190894,85795200
1986-04-28,0.0719510093331337,0.07248002507961802,0.07089236936375688,0.07142199358664937,28886400
